user_id,age,occupation,gender
58374,33,scientist,M
36455,39,retired,M
13905,25,executive/managerial,M
14166,18,K-12 student,M
44407,30,college/grad student,F
17078,28,sales/marketing,M
6685,25,homemaker,M
55905,29,other or not specified,M
64980,25,college/grad student,M
24731,34,sales/marketing,M
49778,28,sales/marketing,M
55232,33,college/grad student,M
8252,32,sales/marketing,M
65141,11,K-12 student,F
59379,32,scientist,M
41931,31,college/grad student,M
3522,25,executive/managerial,M
3017,27,college/grad student,M
54864,27,self-employed,M
10510,28,academic/educator,M
464,38,executive/managerial,M
47820,28,college/grad student,M
27799,30,executive/managerial,F
29993,26,programmer,M
21323,27,college/grad student,M
58717,34,self-employed,M
45878,31,college/grad student,M
13400,28,college/grad student,M
28084,34,executive/managerial,M
53990,26,college/grad student,M
9492,37,programmer,M
48769,31,college/grad student,M
9328,30,executive/managerial,F
18965,33,other or not specified,M
1308,31,executive/managerial,M
16717,21,self-employed,F
36853,41,writer,F
17712,34,executive/managerial,M
52452,31,sales/marketing,M
24147,30,executive/managerial,M
63223,41,homemaker,M
6925,33,self-employed,M
52301,27,scientist,M
6384,34,other or not specified,M
23188,30,clerical/admin,M
6767,28,college/grad student,M
63984,33,college/grad student,M
50377,26,college/grad student,F
15328,44,executive/managerial,M
40049,27,executive/managerial,M
8449,24,sales/marketing,M
24168,26,executive/managerial,M
22607,28,scientist,F
36999,31,executive/managerial,M
8042,31,college/grad student,F
47500,32,sales/marketing,M
29845,30,programmer,M
26985,29,self-employed,M
34751,25,executive/managerial,M
57778,31,executive/managerial,M
22052,34,college/grad student,M
14756,31,academic/educator,F
58758,25,college/grad student,M
59961,25,academic/educator,M
23994,33,academic/educator,M
43110,19,scientist,M
61096,25,college/grad student,M
17075,30,sales/marketing,F
14610,22,college/grad student,M
63420,33,executive/managerial,M
10897,32,college/grad student,M
3609,32,scientist,M
8008,25,artist,M
15613,30,scientist,M
48906,30,academic/educator,M
1365,30,college/grad student,M
58509,32,other or not specified,M
39259,21,executive/managerial,M
64928,22,sales/marketing,M
59215,33,self-employed,M
26110,27,executive/managerial,M
30065,34,customer service,M
36848,25,scientist,M
32613,31,K-12 student,M
2009,18,self-employed,M
41449,30,college/grad student,M
38672,27,college/grad student,M
56776,48,academic/educator,F
62110,29,college/grad student,M
65006,34,college/grad student,M
21411,26,college/grad student,F
3723,27,executive/managerial,M
12468,33,sales/marketing,M
12440,32,scientist,M
45164,32,self-employed,F
1108,23,scientist,M
1161,30,college/grad student,M
50860,17,scientist,M
31927,33,executive/managerial,M
19164,34,college/grad student,F
64353,31,self-employed,F
61725,28,college/grad student,M
25322,29,clerical/admin,M
5826,28,executive/managerial,M
6811,32,sales/marketing,M
14761,53,clerical/admin,F
53392,27,college/grad student,F
39830,26,executive/managerial,M
13794,18,K-12 student,F
17960,21,homemaker,M
60825,28,executive/managerial,M
55174,31,sales/marketing,M
65507,29,self-employed,M
60585,31,scientist,M
65981,28,executive/managerial,M
19530,32,self-employed,M
25640,26,executive/managerial,M
10223,26,other or not specified,M
54461,27,scientist,M
29678,28,sales/marketing,M
21542,25,executive/managerial,M
37293,34,self-employed,F
57620,29,sales/marketing,F
52840,26,writer,M
19445,41,executive/managerial,M
9252,33,sales/marketing,M
60829,26,college/grad student,M
45889,23,sales/marketing,F
49402,27,homemaker,F
34568,25,executive/managerial,M
55616,38,retired,M
24657,26,college/grad student,M
29230,33,programmer,M
42116,31,executive/managerial,M
21097,43,executive/managerial,M
844,27,scientist,M
6758,36,executive/managerial,M
37418,27,academic/educator,M
47707,64,retired,F
64705,30,executive/managerial,M
